Wall time,Step,Value
1713537046.3895009,4096,-36877.5
1713537047.46644,6144,-36877.5
1713537048.556436,8192,-27933.0
1713537049.63217,10240,-24445.0
1713537050.704009,12288,-22423.875
1713537051.909599,14336,-22423.875
1713537053.096902,16384,-20607.900390625
1713537054.270535,18432,-18724.583984375
1713537055.359085,20480,-18460.857421875
1713537056.410795,22528,-16681.125
1713537057.475256,24576,-15801.888671875
1713537058.512032,26624,-14661.25
1713537059.550144,28672,-13697.181640625
1713537060.5878808,30720,-13444.3330078125
1713537061.6210802,32768,-12670.73046875
1713537062.693125,34816,-12511.607421875
1713537063.7526278,36864,-12251.2666015625
1713537064.7105122,38912,-12251.2666015625
1713537065.7593138,40960,-11969.84375
1713537066.7962189,43008,-11984.44140625
1713537067.89647,45056,-11600.47265625
1713537068.944252,47104,-11286.7890625
1713537069.991966,49152,-11231.9501953125
1713537071.029081,51200,-11024.357421875
1713537072.10203,53248,-10751.11328125
1713537073.1632829,55296,-10435.869140625
1713537074.205635,57344,-10678.6669921875
1713537075.242282,59392,-10726.9404296875
1713537076.1841621,61440,-10726.9404296875
1713537077.220043,63488,-10843.6728515625
1713537078.251198,65536,-10858.77734375
1713537079.299981,67584,-10893.75
1713537080.354762,69632,-10784.775390625
1713537081.439648,71680,-10686.966796875
1713537082.488843,73728,-10538.9833984375
1713537083.524485,75776,-10422.765625
1713537084.565228,77824,-10340.3935546875
1713537085.628402,79872,-10289.2060546875
1713537086.575519,81920,-10289.2060546875
1713537087.630377,83968,-10134.185546875
1713537088.6744168,86016,-10023.3330078125
1713537089.711436,88064,-9817.8779296875
1713537090.757083,90112,-9685.091796875
1713537091.804768,92160,-9534.884765625
1713537092.850199,94208,-9484.625
1713537093.906703,96256,-9551.609375
1713537095.0007548,98304,-9569.0478515625
1713537096.031117,100352,-9514.6279296875
1713537097.0638962,102400,-9602.0458984375
1713537098.1006248,104448,-9465.2998046875
1713537099.147339,106496,-9521.8369140625
1713537100.12378,108544,-9521.8369140625
1713537101.193474,110592,-9491.8193359375
1713537102.297903,112640,-9526.7294921875
1713537103.3463511,114688,-9416.0615234375
1713537104.403105,116736,-9377.169921875
1713537105.463446,118784,-9366.94140625
1713537106.515244,120832,-9344.8076171875
1713537107.56947,122880,-9401.6513671875
1713537108.648983,124928,-9285.935546875
1713537109.7006998,126976,-9179.400390625
1713537110.741033,129024,-9161.7587890625
1713537111.9898229,131072,-9076.912109375
1713537113.0465841,133120,-8999.12109375
1713537114.083221,135168,-8965.796875
1713537115.126855,137216,-8860.05859375
1713537116.163672,139264,-8805.0078125
1713537117.129899,141312,-8805.0078125
1713537118.179065,143360,-8869.25
1713537119.242336,145408,-8861.2060546875
1713537120.293688,147456,-8777.6484375
1713537121.346453,149504,-8773.5
1713537122.4589891,151552,-8811.1435546875
1713537123.502037,153600,-8846.41015625
1713537124.536128,155648,-8796.625
1713537125.603338,157696,-8812.9130859375
1713537126.6382232,159744,-8792.4287109375
1713537127.595347,161792,-8792.4287109375
1713537128.633325,163840,-8787.513671875
1713537129.7000299,165888,-8806.138671875
1713537130.7569401,167936,-8811.3701171875
1713537131.817903,169984,-8834.013671875
1713537132.866051,172032,-8848.353515625
1713537133.899659,174080,-8796.427734375
1713537134.955764,176128,-8828.0517578125
1713537136.0577762,178176,-8874.4169921875
1713537137.0247638,180224,-8874.4169921875
1713537138.054634,182272,-8844.84765625
1713537139.098474,184320,-8763.4814453125
1713537140.141985,186368,-8760.2841796875
1713537141.1739898,188416,-8800.0791015625
1713537142.206898,190464,-8714.578125
1713537143.23061,192512,-8640.7734375
1713537144.258007,194560,-8585.6650390625
1713537145.3075452,196608,-8590.4306640625
1713537146.350843,198656,-8665.8740234375
1713537147.38743,200704,-8688.693359375
1713537148.35487,202752,-8688.693359375
1713537149.401472,204800,-8748.5791015625
1713537150.497972,206848,-8757.68359375
1713537151.547301,208896,-8735.2197265625
1713537152.598163,210944,-8745.7880859375
1713537153.63613,212992,-8859.693359375
1713537154.612231,215040,-8859.693359375
1713537155.677325,217088,-8867.521484375
1713537156.710887,219136,-8882.9736328125
1713537157.753072,221184,-8939.9580078125
1713537158.804812,223232,-8938.6806640625
1713537159.849379,225280,-8923.341796875
