Wall time,Step,Value
1713453520.288904,2048,-61.0
1713453521.9938471,4096,-473.0
1713453523.643352,6144,-344.0
1713453525.344885,8192,-351.0
1713453527.096617,10240,-280.79998779296875
1713453528.717567,12288,-234.0
1713453530.465735,14336,-200.57142639160156
1713453532.989194,16384,-200.57142639160156
1713453534.543586,18432,-175.5
1713453536.086029,20480,-161.3333282470703
1713453537.626501,22528,-145.1999969482422
1713453539.057062,24576,-145.1999969482422
1713453540.6144252,26624,-133.18182373046875
1713453542.2513402,28672,-122.08333587646484
1713453543.782422,30720,-112.69230651855469
1713453545.202654,32768,-112.69230651855469
1713453546.707694,34816,-104.64286041259766
1713453548.206582,36864,-97.66666412353516
1713453549.7025652,38912,-91.5625
1713453551.132422,40960,-91.5625
1713453552.648166,43008,-86.17646789550781
1713453554.0489721,45056,-86.17646789550781
1713453555.5541692,47104,-81.38888549804688
1713453557.0563278,49152,-77.10526275634766
1713453558.4892192,51200,-77.10526275634766
1713453559.912148,53248,-77.10526275634766
1713453561.443328,55296,-73.25
1713453562.874777,57344,-73.25
1713453564.437299,59392,-69.76190185546875
1713453565.866251,61440,-69.76190185546875
1713453567.2874382,63488,-69.76190185546875
1713453568.828778,65536,-67.04545593261719
1713453570.266476,67584,-67.04545593261719
1713453571.693289,69632,-67.04545593261719
1713453573.24074,71680,-64.13043212890625
1713453574.662497,73728,-64.13043212890625
1713453576.188902,75776,-61.45833206176758
1713453577.6636019,77824,-61.45833206176758
1713453579.131279,79872,-61.45833206176758
1713453580.590258,81920,-61.45833206176758
1713453582.1164339,83968,-59.0
1713453583.581216,86016,-59.0
1713453585.019045,88064,-59.0
1713453586.5585642,90112,-56.730770111083984
1713453587.990252,92160,-56.730770111083984
1713453589.509192,94208,-54.62963104248047
1713453591.192503,96256,-54.62963104248047
1713453592.604651,98304,-54.62963104248047
1713453594.152849,100352,-52.67856979370117
1713453595.5688589,102400,-52.67856979370117
1713453597.0941901,104448,-50.86206817626953
1713453598.513126,106496,-50.86206817626953
1713453600.09358,108544,-49.16666793823242
1713453601.521606,110592,-49.16666793823242
1713453602.943166,112640,-49.16666793823242
1713453604.4791338,114688,-47.58064651489258
1713453605.898155,116736,-47.58064651489258
1713453607.454039,118784,-46.09375
1713453608.895343,120832,-46.09375
1713453610.3438878,122880,-46.09375
1713453611.858717,124928,-44.69696807861328
1713453613.276161,126976,-44.69696807861328
1713453614.792502,129024,-43.382354736328125
1713453616.214603,131072,-43.382354736328125
1713453617.63088,133120,-43.382354736328125
1713453619.152159,135168,-42.14285659790039
1713453620.5537589,137216,-42.14285659790039
1713453622.1036758,139264,-40.97222137451172
1713453623.511897,141312,-40.97222137451172
1713453625.0316422,143360,-40.864864349365234
1713453626.43231,145408,-40.864864349365234
1713453627.9715269,147456,-39.78947448730469
1713453629.3717718,149504,-39.78947448730469
1713453630.919727,151552,-38.769229888916016
1713453632.414818,153600,-37.79999923706055
1713453633.8282728,155648,-37.79999923706055
1713453635.33482,157696,-36.878047943115234
1713453636.731956,159744,-36.878047943115234
1713453638.2528389,161792,-36.0
1713453639.758892,163840,-35.16279220581055
1713453641.174082,165888,-35.16279220581055
1713453642.692557,167936,-34.3636360168457
1713453644.084341,169984,-34.3636360168457
1713453645.602848,172032,-33.599998474121094
1713453647.1054258,174080,-32.869564056396484
1713453648.486275,176128,-32.869564056396484
1713453650.03165,178176,-32.17021179199219
1713453651.945598,180224,-31.5
1713453653.359452,182272,-31.5
1713453654.886834,184320,-30.85714340209961
1713453656.2721121,186368,-30.85714340209961
1713453657.77357,188416,-30.239999771118164
1713453659.281493,190464,-29.647058486938477
1713453660.7011929,192512,-29.647058486938477
1713453662.214147,194560,-29.076923370361328
1713453663.622993,196608,-29.076923370361328
1713453665.12926,198656,-28.528301239013672
1713453666.629329,200704,-28.0
1713453668.040579,202752,-28.0
1713453669.55526,204800,-27.490909576416016
1713453670.98324,206848,-27.490909576416016
1713453672.59073,208896,-27.0
1713453674.0007098,210944,-27.0
1713453675.549203,212992,-26.526315689086914
1713453677.047632,215040,-26.068965911865234
1713453678.452843,217088,-26.068965911865234
1713453679.970089,219136,-25.627119064331055
1713453681.383085,221184,-25.627119064331055
1713453682.892585,223232,-25.200000762939453
1713453684.310412,225280,-25.200000762939453
1713453685.837853,227328,-24.786884307861328
1713453687.500003,229376,-24.387096405029297
1713453689.347432,231424,-24.387096405029297
1713453691.330466,233472,-24.0
1713453692.957556,235520,-24.0
1713453694.85204,237568,-23.625
1713453696.57571,239616,-23.625
1713453698.7631118,241664,-23.261537551879883
1713453700.5397959,243712,-22.909090042114258
1713453702.19996,245760,-22.909090042114258
1713453704.048976,247808,-22.567163467407227
1713453705.719258,249856,-22.567163467407227
1713453707.481906,251904,-22.235294342041016
1713453709.020697,253952,-22.235294342041016
1713453711.176805,256000,-21.913043975830078
1713453712.944174,258048,-21.600000381469727
1713453714.409317,260096,-21.600000381469727
1713453715.932222,262144,-21.295774459838867
1713453717.3644102,264192,-21.295774459838867
1713453718.9032462,266240,-21.0
1713453720.547725,268288,-20.71232795715332
1713453721.9664361,270336,-20.71232795715332
1713453723.498622,272384,-20.432432174682617
1713453724.937461,274432,-20.432432174682617
1713453726.472407,276480,-20.15999984741211
1713453727.878816,278528,-20.15999984741211
1713453729.409197,280576,-19.894737243652344
1713453730.824797,282624,-19.894737243652344
1713453732.33976,284672,-19.636363983154297
1713453733.8709178,286720,-19.384614944458008
1713453735.250437,288768,-19.384614944458008
1713453736.770027,290816,-19.139240264892578
1713453738.2853959,292864,-18.899999618530273
1713453739.71134,294912,-18.899999618530273
1713453741.228638,296960,-18.66666603088379
1713453742.6349661,299008,-18.66666603088379
1713453744.1910641,301056,-18.439023971557617
1713453745.820597,303104,-18.439023971557617
1713453747.5685031,305152,-18.216867446899414
1713453749.065699,307200,-18.216867446899414
1713453750.602259,309248,-18.0
1713453752.018563,311296,-18.0
1713453753.5503528,313344,-17.78823471069336
1713453755.101428,315392,-17.78823471069336
1713453756.754721,317440,-17.78823471069336
1713453758.421164,319488,-17.581396102905273
1713453759.978205,321536,-17.581396102905273
1713453762.0240629,323584,-17.379310607910156
1713453763.541843,325632,-17.379310607910156
1713453765.231884,327680,-17.18181800842285
1713453766.756623,329728,-17.18181800842285
1713453768.5518222,331776,-17.18181800842285
1713453770.442301,333824,-16.9887638092041
1713453772.406181,335872,-16.9887638092041
1713453773.861933,337920,-16.9887638092041
1713453775.582439,339968,-16.799999237060547
1713453777.1672819,342016,-16.799999237060547
1713453778.846357,344064,-16.615385055541992
1713453780.3225548,346112,-16.615385055541992
1713453781.988586,348160,-16.434782028198242
1713453783.4865549,350208,-16.434782028198242
1713453785.2944949,352256,-16.25806427001953
1713453786.8281548,354304,-16.25806427001953
1713453788.403614,356352,-16.085105895996094
1713453790.4055529,358400,-16.085105895996094
1713453791.977587,360448,-16.085105895996094
1713453793.798702,362496,-15.915789604187012
1713453795.293056,364544,-15.915789604187012
1713453796.885619,366592,-15.75
1713453798.556542,368640,-15.75
1713453800.18926,370688,-15.587629318237305
1713453801.8938408,372736,-15.587629318237305
1713453803.626009,374784,-15.428571701049805
1713453805.119519,376832,-15.428571701049805
1713453806.89116,378880,-15.272727012634277
1713453808.616461,380928,-15.119999885559082
1713453810.2943628,382976,-14.510000228881836
1713453811.896536,385024,-14.510000228881836
1713453813.374249,387072,-14.510000228881836
1713453815.1408799,389120,-5.659999847412109
1713453816.876456,391168,-5.659999847412109
1713453818.5211751,393216,-4.800000190734863
1713453820.129038,395264,-4.800000190734863
1713453821.570977,397312,-4.800000190734863
1713453823.127174,399360,-1.0800000429153442
1713453824.582016,401408,-1.0800000429153442
1713453826.077369,403456,-1.0800000429153442
1713453827.575383,405504,-1.0800000429153442
1713453829.082159,407552,-1.4700000286102295
1713453830.474616,409600,-1.4700000286102295
1713453832.85131,411648,-1.4700000286102295
1713453834.356586,413696,-1.4700000286102295
1713453835.8588102,415744,-1.4700000286102295
1713453837.2438889,417792,-1.4700000286102295
1713453838.828298,419840,-1.2899999618530273
1713453840.2985978,421888,-1.2899999618530273
1713453841.6831691,423936,-1.2899999618530273
1713453843.1787379,425984,-1.159999966621399
1713453844.665146,428032,-1.159999966621399
1713453846.155659,430080,-1.159999966621399
1713453847.686653,432128,-1.159999966621399
1713453849.058764,434176,-1.159999966621399
1713453850.551876,436224,-1.159999966621399
1713453851.961014,438272,-1.159999966621399
1713453853.592544,440320,-1.159999966621399
1713453855.095906,442368,-1.159999966621399
1713453856.631205,444416,-1.5199999809265137
1713453858.0207229,446464,-1.5199999809265137
1713453859.497164,448512,-1.5199999809265137
1713453860.977563,450560,-1.5199999809265137
1713453862.487467,452608,-1.5199999809265137
1713453863.975947,454656,-1.9800000190734863
1713453865.4654222,456704,-2.4000000953674316
1713453866.9554958,458752,-2.4000000953674316
1713453868.4522839,460800,-2.4000000953674316
1713453869.981565,462848,-2.4000000953674316
1713453871.452481,464896,-2.4000000953674316
1713453872.8363469,466944,-2.4000000953674316
1713453874.294552,468992,-2.4000000953674316
1713453875.788403,471040,-2.4000000953674316
1713453877.280121,473088,-2.4000000953674316
1713453878.7573671,475136,-2.4000000953674316
1713453880.24851,477184,-2.4000000953674316
1713453881.725895,479232,-2.4000000953674316
1713453883.227372,481280,-2.4000000953674316
1713453884.745259,483328,-2.4000000953674316
1713453886.1677592,485376,-2.4000000953674316
1713453887.6594582,487424,-2.4000000953674316
1713453889.138172,489472,-2.0299999713897705
1713453890.617107,491520,-2.0299999713897705
1713453892.41043,493568,-2.0299999713897705
1713453893.9217641,495616,-2.0299999713897705
1713453895.382946,497664,-2.0299999713897705
1713453896.878857,499712,-2.0299999713897705
1713453898.412684,501760,-2.0299999713897705
