Wall time,Step,Value
1713626652.8373902,4096,-1051.0
1713626654.0472891,6144,-1051.0
1713626655.89998,8192,-2194.5
1713626657.418677,10240,-2194.5
1713626658.6244822,12288,-1629.3333740234375
1713626659.80288,14336,-1629.3333740234375
1713626660.968169,16384,-1841.25
1713626662.004208,18432,-1841.25
1713626663.13394,20480,-1736.5999755859375
1713626664.398443,22528,-2052.833251953125
1713626665.4523158,24576,-2052.833251953125
1713626666.636563,26624,-2024.857177734375
1713626667.725996,28672,-2024.857177734375
1713626668.863075,30720,-1805.375
1713626669.839329,32768,-1805.375
1713626670.902378,34816,-1858.5555419921875
1713626671.888656,36864,-1858.5555419921875
1713626672.9499671,38912,-2127.39990234375
1713626673.924184,40960,-2127.39990234375
1713626675.0062568,43008,-2017.727294921875
1713626675.979517,45056,-2017.727294921875
1713626677.0561862,47104,-1906.0833740234375
1713626678.022349,49152,-1906.0833740234375
1713626679.09611,51200,-2158.46142578125
1713626680.100967,53248,-2158.46142578125
1713626681.187401,55296,-2099.571533203125
1713626682.205153,57344,-2099.571533203125
1713626683.209504,59392,-2099.571533203125
1713626684.282049,61440,-1959.5999755859375
1713626685.315329,63488,-1959.5999755859375
1713626686.3428779,65536,-1959.5999755859375
1713626687.430725,67584,-1959.5999755859375
1713626688.55677,69632,-1837.5625
1713626689.6469839,71680,-1837.5625
1713626690.753322,73728,-1837.5625
1713626691.874592,75776,-1837.5625
1713626692.975592,77824,-1837.5625
1713626694.1200378,79872,-1729.4705810546875
1713626695.191699,81920,-1729.4705810546875
1713626696.2657018,83968,-1729.4705810546875
1713626697.340078,86016,-1729.4705810546875
1713626698.491765,88064,-1640.72216796875
1713626699.5085142,90112,-1640.72216796875
1713626700.5376608,92160,-1640.72216796875
1713626701.5482318,94208,-1640.72216796875
1713626702.6441832,96256,-1954.4210205078125
1713626703.641369,98304,-1954.4210205078125
1713626704.647192,100352,-1954.4210205078125
1713626705.761974,102400,-1901.300048828125
1713626706.791723,104448,-1901.300048828125
1713626707.894453,106496,-2136.71435546875
1713626708.9217541,108544,-2136.71435546875
1713626709.960778,110592,-2136.71435546875
1713626711.000248,112640,-2136.71435546875
1713626712.1145458,114688,-2049.636474609375
1713626713.287027,116736,-2049.636474609375
1713626714.872884,118784,-2049.636474609375
1713626716.0741708,120832,-2049.636474609375
1713626717.866066,122880,-1960.521728515625
1713626719.062499,124928,-1960.521728515625
1713626720.3583748,126976,-1960.521728515625
1713626721.6168802,129024,-1960.521728515625
1713626722.838321,131072,-1960.521728515625
1713626724.095414,133120,-1960.521728515625
1713626725.2988749,135168,-1878.8333740234375
1713626726.398933,137216,-1878.8333740234375
1713626727.532049,139264,-1878.8333740234375
1713626728.698383,141312,-1878.8333740234375
1713626729.902136,143360,-1878.8333740234375
1713626731.1172612,145408,-1878.8333740234375
1713626732.409875,147456,-1804.8800048828125
1713626733.472954,149504,-1804.8800048828125
1713626734.5675929,151552,-1804.8800048828125
1713626735.6340978,153600,-1804.8800048828125
1713626736.827447,155648,-2034.6153564453125
1713626737.873698,157696,-2034.6153564453125
1713626738.931345,159744,-2034.6153564453125
1713626739.969126,161792,-2034.6153564453125
1713626741.04607,163840,-2176.814697265625
1713626742.0486982,165888,-2176.814697265625
1713626743.1128,167936,-2124.0
1713626744.232148,169984,-2124.0
1713626745.313757,172032,-2124.0
1713626746.3865862,174080,-2124.0
1713626747.495519,176128,-2050.758544921875
1713626748.5630841,178176,-2050.758544921875
1713626749.6829839,180224,-2050.758544921875
1713626750.818794,182272,-2050.758544921875
1713626751.917823,184320,-2050.758544921875
1713626753.109524,186368,-1982.4000244140625
1713626754.1331232,188416,-1982.4000244140625
1713626755.163916,190464,-1982.4000244140625
1713626756.278947,192512,-1947.1290283203125
1713626757.3002539,194560,-1947.1290283203125
1713626758.319295,196608,-1947.1290283203125
1713626759.426757,198656,-1913.03125
1713626760.4517179,200704,-1913.03125
1713626761.477154,202752,-1913.03125
1713626762.563833,204800,-1981.9090576171875
1713626763.577492,206848,-1981.9090576171875
1713626764.59427,208896,-1981.9090576171875
1713626765.698873,210944,-1923.61767578125
1713626766.77828,212992,-1923.61767578125
1713626767.907845,215040,-1923.61767578125
