Wall time,Step,Value
1712499518.5895119,4096,-1363.550048828125
1712499520.218059,6144,-1222.574951171875
1712499521.856666,8192,-1222.574951171875
1712499523.4089978,10240,-1162.2166748046875
1712499524.88367,12288,-1034.8499755859375
1712499526.402359,14336,-891.510009765625
1712499528.087048,16384,-975.2249755859375
1712499529.665967,18432,-981.164306640625
1712499531.19575,20480,-1011.6312255859375
1712499532.615099,22528,-1011.6312255859375
1712499534.083467,24576,-995.4500122070312
1712499535.7069068,26624,-957.3800048828125
1712499537.1992881,28672,-913.2045288085938
1712499538.655945,30720,-853.8333129882812
1712499540.0284622,32768,-853.8333129882812
1712499541.521052,34816,-904.4500122070312
1712499543.003066,36864,-962.4071655273438
1712499544.491863,38912,-930.6500244140625
1712499546.013577,40960,-962.515625
1712499547.5001469,43008,-929.255859375
1712499549.190602,45056,-956.5166625976562
1712499550.73707,47104,-957.6683959960938
1712499552.157601,49152,-957.6683959960938
1712499553.65566,51200,-961.0574951171875
1712499555.142216,53248,-948.1595458984375
1712499556.651944,55296,-973.9568481445312
1712499558.0548348,57344,-973.9568481445312
1712499559.5304399,59392,-997.7086791992188
1712499561.050439,61440,-979.2562255859375
1712499562.74365,63488,-946.7020263671875
1712499564.275053,65536,-918.2711791992188
1712499565.918981,67584,-929.8333129882812
1712499567.531069,69632,-912.221435546875
1712499569.0075068,71680,-912.221435546875
1712499570.5106719,73728,-900.5792846679688
1712499572.246905,75776,-876.8250122070312
1712499573.8738408,77824,-871.7532348632812
1712499575.418098,79872,-869.1359252929688
1712499577.199339,81920,-861.8727416992188
1712499579.0265112,83968,-845.2926635742188
1712499580.856191,86016,-829.2656860351562
1712499582.5942888,88064,-829.2656860351562
1712499584.271623,90112,-831.45556640625
1712499585.861896,92160,-827.979736328125
1712499587.3883011,94208,-833.0736694335938
1712499588.882366,96256,-819.8704833984375
1712499590.474198,98304,-836.7662353515625
1712499591.976529,100352,-824.2865600585938
1712499593.668273,102400,-811.05712890625
1712499595.254807,104448,-811.05712890625
1712499596.762846,106496,-825.66162109375
1712499598.322263,108544,-829.44091796875
1712499599.868916,110592,-820.2988891601562
1712499601.3811939,112640,-812.6195678710938
1712499602.929039,114688,-805.562744140625
1712499604.348209,116736,-805.562744140625
1712499605.859595,118784,-814.609375
1712499607.449873,120832,-804.7244873046875
1712499609.000611,122880,-804.4829711914062
1712499610.531113,124928,-792.2029418945312
1712499612.045469,126976,-791.7009887695312
1712499613.5382211,129024,-783.1934204101562
1712499615.077301,131072,-774.9259033203125
1712499616.587185,133120,-768.4054565429688
1712499617.9862468,135168,-768.4054565429688
1712499619.5137339,137216,-758.5062255859375
1712499621.014684,139264,-762.15966796875
1712499622.563751,141312,-755.0474243164062
1712499624.069213,143360,-749.866943359375
1712499625.576582,145408,-743.2849731445312
1712499627.080607,147456,-736.7294921875
1712499628.731609,149504,-732.0120849609375
1712499630.219955,151552,-725.3690185546875
1712499631.711746,153600,-715.4273681640625
1712499633.1784441,155648,-715.4273681640625
1712499634.692919,157696,-721.6754150390625
1712499636.3326762,159744,-719.9515380859375
1712499637.862954,161792,-723.8343505859375
1712499639.406655,163840,-720.4198608398438
1712499640.952976,165888,-721.9913330078125
1712499642.4721239,167936,-720.2706909179688
1712499643.901392,169984,-720.2706909179688
1712499645.397975,172032,-717.5035400390625
1712499646.902569,174080,-717.388916015625
1712499648.423404,176128,-712.53564453125
1712499649.917272,178176,-706.1439208984375
1712499651.422812,180224,-699.8086547851562
1712499652.928159,182272,-703.3394775390625
1712499654.341708,184320,-703.3394775390625
1712499656.085582,186368,-708.5175170898438
1712499657.6119318,188416,-705.7493286132812
1712499659.149744,190464,-700.2772216796875
1712499660.696909,192512,-695.8743896484375
1712499662.236326,194560,-701.6925659179688
1712499663.744416,196608,-696.51953125
1712499665.3342762,198656,-694.8090209960938
1712499666.816111,200704,-694.8090209960938
1712499668.358958,202752,-694.3809814453125
1712499670.001411,204800,-699.886474609375
1712499671.647169,206848,-698.553466796875
1712499673.119987,208896,-698.553466796875
1712499674.978082,210944,-699.7356567382812
1712499676.55812,212992,-695.1255493164062
1712499678.2347698,215040,-694.57470703125
1712499680.0103722,217088,-691.0955810546875
1712499681.616294,219136,-685.6246948242188
1712499683.158667,221184,-680.6592407226562
1712499684.688693,223232,-680.0682983398438
1712499686.114145,225280,-680.0682983398438
1712499687.639766,227328,-682.9872436523438
1712499689.146761,229376,-678.7716064453125
1712499690.6524632,231424,-677.3958129882812
1712499692.189089,233472,-672.9752807617188
1712499693.695395,235520,-669.0581665039062
1712499695.2779572,237568,-663.9722290039062
1712499696.82642,239616,-659.9094848632812
1712499698.363384,241664,-653.6384887695312
1712499699.9210298,243712,-653.6384887695312
1712499701.59041,245760,-648.781982421875
1712499703.2750561,247808,-653.7465209960938
1712499704.992911,249856,-650.5159912109375
1712499706.633813,251904,-654.1945190429688
1712499708.1991,253952,-641.9099731445312
1712499709.8639848,256000,-634.4874877929688
1712499711.425316,258048,-634.4874877929688
1712499713.048306,260096,-629.217529296875
1712499714.605052,262144,-629.2730102539062
1712499716.224084,264192,-627.5164794921875
1712499717.748842,266240,-626.5750122070312
1712499719.2342699,268288,-626.8284912109375
1712499720.727683,270336,-614.6810302734375
1712499722.245313,272384,-614.6810302734375
1712499723.9040372,274432,-604.2689819335938
1712499725.420717,276480,-601.0089721679688
1712499726.9217842,278528,-592.4409790039062
1712499728.453795,280576,-595.3189697265625
1712499729.938088,282624,-586.1690063476562
1712499731.4648142,284672,-583.1785278320312
1712499732.91682,286720,-583.1785278320312
1712499734.447398,288768,-575.7885131835938
1712499735.955703,290816,-573.9805297851562
1712499737.472836,292864,-560.3779907226562
1712499738.988647,294912,-553.0275268554688
1712499740.514224,296960,-550.051025390625
1712499742.0712261,299008,-553.4755249023438
1712499743.752183,301056,-556.7349853515625
1712499745.2509131,303104,-547.4144897460938
1712499746.681658,305152,-547.4144897460938
1712499748.2152529,307200,-565.7764892578125
1712499749.721935,309248,-579.3109741210938
1712499751.191823,311296,-583.9954833984375
1712499752.753226,313344,-580.7135009765625
1712499754.268866,315392,-580.7135009765625
1712499755.810984,317440,-576.8189697265625
1712499757.342647,319488,-577.291015625
1712499758.827033,321536,-580.0130004882812
1712499760.368014,323584,-579.5025024414062
1712499761.8737931,325632,-591.0
1712499763.400893,327680,-591.0
1712499765.015048,329728,-591.72900390625
1712499766.603571,331776,-582.4874877929688
1712499768.346853,333824,-586.301025390625
1712499770.062604,335872,-574.9824829101562
1712499771.582504,337920,-575.885009765625
1712499773.2033641,339968,-575.885009765625
1712499775.0172522,342016,-592.1475219726562
1712499776.664447,344064,-583.844970703125
1712499778.258991,346112,-577.5850219726562
1712499780.017123,348160,-578.156982421875
1712499781.5686169,350208,-574.6320190429688
1712499783.0841799,352256,-572.9404907226562
1712499784.582826,354304,-570.0549926757812
1712499786.019882,356352,-570.0549926757812
1712499787.547733,358400,-573.9945068359375
1712499789.1366348,360448,-567.6204833984375
1712499790.6586208,362496,-569.406005859375
1712499792.197563,364544,-566.676513671875
1712499793.6881971,366592,-569.0650024414062
