Wall time,Step,Value
1712485942.870348,2500,-1201.4000244140625
1712485944.6302001,4000,-1201.4000244140625
1712485945.3575418,4500,-1099.699951171875
1712485949.4016771,7500,-1031.9666748046875
1712485950.1340559,8000,-1031.9666748046875
1712485952.5210571,9500,-1007.2750244140625
1712485953.260231,10000,-1007.2750244140625
1712485955.64197,11500,-1014.1799926757812
1712485956.634492,12000,-1022.7833251953125
1712485957.308361,12500,-1022.7833251953125
1712485958.859199,13500,-1022.7833251953125
1712485959.772182,14000,-1026.9642333984375
1712485962.001516,15500,-1026.9642333984375
1712485962.938869,16000,-1034.050048828125
1712485967.566598,19000,-1049.477783203125
1712485970.02923,20500,-1065.5899658203125
1712485970.7859359,21000,-1065.5899658203125
1712485971.517249,21500,-1065.5899658203125
1712485972.244865,22000,-1065.5899658203125
1712485973.177247,22500,-1119.7091064453125
1712485978.563048,26000,-1120.4207763671875
1712485979.601117,26500,-1126.46533203125
1712485980.9368498,27000,-1126.46533203125
1712485983.19991,28000,-1126.46533203125
1712485984.414104,28500,-1114.2071533203125
1712485986.7426062,29500,-1114.2071533203125
1712485990.214624,31000,-1102.81005859375
1712485993.108822,32500,-1123.4781494140625
1712485994.080311,33000,-1123.4781494140625
1712485995.057323,33500,-1123.4781494140625
1712485996.099434,34000,-1123.4781494140625
1712485998.546805,35000,-1077.8941650390625
1712485999.542648,35500,-1077.8941650390625
1712486000.5297961,36000,-1077.8941650390625
1712486001.714734,36500,-1065.74169921875
1712486003.460143,37500,-1065.74169921875
1712486004.911772,38000,-1065.74169921875
1712486010.673592,41000,-1029.5799560546875
1712486012.9336588,42000,-1029.5799560546875
1712486014.125448,42500,-1047.1666259765625
1712486016.528068,43500,-1047.1666259765625
1712486017.685185,44000,-1047.1666259765625
1712486020.022987,45000,-1058.272705078125
1712486023.75029,47000,-1074.5543212890625
1712486024.6277308,47500,-1074.5543212890625
1712486029.5218198,50000,-1096.6895751953125
1712486033.8481972,52000,-1128.6400146484375
1712486034.9010618,52500,-1123.5865478515625
1712486037.2217941,54000,-1123.5865478515625
1712486039.79952,55500,-1114.8333740234375
1712486040.708147,56000,-1114.8333740234375
1712486043.031599,57000,-1110.0142822265625
1712486047.3366458,59500,-1112.97412109375
1712486048.823315,60500,-1112.97412109375
1712486053.308185,63000,-1104.8096923828125
1712486056.602543,65000,-1104.143798828125
1712486057.6254249,65500,-1104.143798828125
1712486059.341242,66500,-1104.143798828125
1712486061.1001549,67500,-1088.4697265625
1712486061.86693,68000,-1088.4697265625
1712486062.6261928,68500,-1088.4697265625
1712486065.758541,70500,-1090.5206298828125
1712486066.679251,71000,-1080.682861328125
1712486071.347392,74000,-1102.5792236328125
1712486072.219566,74500,-1102.5792236328125
1712486074.152213,75500,-1100.682373046875
1712486075.10202,76000,-1100.682373046875
1712486077.662854,77500,-1107.9697265625
1712486083.845381,81000,-1111.251220703125
1712486085.774991,82000,-1111.251220703125
1712486086.776425,82500,-1111.251220703125
1712486088.809328,83500,-1104.724365234375
1712486090.450856,84500,-1104.724365234375
1712486092.291907,85500,-1102.3309326171875
1712486097.753896,87500,-1098.391845703125
1712486098.779277,88000,-1098.391845703125
1712486099.778924,88500,-1098.391845703125
1712486103.1534941,90000,-1104.8477783203125
1712486104.122549,90500,-1104.8477783203125
1712486105.0861492,91000,-1104.8477783203125
1712486106.29031,91500,-1093.046630859375
1712486108.213938,92500,-1093.046630859375
1712486109.238039,93000,-1093.046630859375
1712486112.685629,94500,-1088.4097900390625
1712486114.244722,95000,-1088.4097900390625
1712486115.4894469,95500,-1104.6478271484375
1712486121.435849,97000,-1104.6478271484375
1712486122.923872,97500,-1105.6197509765625
1712486123.890214,98000,-1105.6197509765625
1712486124.8306198,98500,-1105.6197509765625
1712486128.068255,100000,-1107.955078125
1712486132.202296,102000,-1108.281005859375
1712486133.175332,102500,-1108.281005859375
1712486135.080788,103500,-1108.281005859375
1712486136.338977,104000,-1112.816650390625
1712486137.7236228,104500,-1112.816650390625
1712486139.026007,105000,-1112.816650390625
1712486141.4287848,106000,-1107.3394775390625
1712486143.3502688,107000,-1107.3394775390625
1712486145.417233,108000,-1099.9774169921875
1712486147.323622,109000,-1099.9774169921875
1712486149.401566,110000,-1096.7703857421875
1712486150.470635,110500,-1096.7703857421875
1712486152.375991,111500,-1096.7703857421875
1712486153.475889,112000,-1096.213623046875
1712486154.4509282,112500,-1096.213623046875
1712486155.397828,113000,-1096.213623046875
1712486156.3901088,113500,-1096.213623046875
1712486158.594686,114500,-1095.0714111328125
1712486159.5349739,115000,-1095.0714111328125
1712486163.5191932,117000,-1095.153564453125
1712486169.563312,120000,-1096.168701171875
1712486171.473661,121000,-1096.168701171875
1712486172.40181,121500,-1096.168701171875
1712486173.487248,122000,-1093.5999755859375
1712486175.419737,123000,-1093.5999755859375
1712486176.401163,123500,-1093.5999755859375
1712486178.612787,124500,-1086.3753662109375
1712486179.548244,125000,-1086.3753662109375
1712486180.470573,125500,-1086.3753662109375
1712486181.573181,126000,-1092.5386962890625
1712486186.4827242,128500,-1092.00634765625
1712486187.4184508,129000,-1092.00634765625
1712486188.417274,129500,-1092.00634765625
1712486191.398869,131000,-1088.024169921875
1712486192.37243,131500,-1088.024169921875
1712486193.30431,132000,-1088.024169921875
1712486194.402556,132500,-1076.8154296875
1712486196.2891278,133500,-1076.8154296875
1712486204.3982358,137500,-1072.0836181640625
1712486205.539824,138000,-1071.4559326171875
1712486208.465919,139500,-1071.4559326171875
1712486209.617416,140000,-1072.064453125
1712486210.56063,140500,-1072.064453125
1712486212.4532008,141500,-1072.064453125
1712486214.4992352,142500,-1072.02001953125
1712486216.340214,143500,-1072.02001953125
1712486217.25004,144000,-1072.02001953125
1712486219.342331,145000,-1073.5330810546875
1712486221.2005608,146000,-1073.5330810546875
1712486222.244709,146500,-1080.579833984375
1712486224.13613,147500,-1080.579833984375
1712486229.158208,150000,-1076.349365234375
1712486230.0778081,150500,-1076.349365234375
1712486231.182533,151000,-1082.5426025390625
1712486232.0935009,151500,-1082.5426025390625
1712486238.339945,154500,-1081.119384765625
1712486240.407847,155500,-1077.4947509765625
1712486242.3467221,156500,-1077.4947509765625
1712486243.4444501,157000,-1077.9837646484375
1712486246.399605,158500,-1077.9837646484375
1712486247.608316,159000,-1076.13720703125
1712486250.505192,160500,-1076.13720703125
1712486252.645258,161500,-1077.8360595703125
1712486253.603272,162000,-1077.8360595703125
1712486256.634767,163500,-1075.01123046875
1712486258.57341,164500,-1075.01123046875
1712486263.517187,167000,-1072.5728759765625
1712486264.6867452,167500,-1068.8695068359375
1712486265.654809,168000,-1068.8695068359375
1712486266.599168,168500,-1068.8695068359375
1712486271.646179,171000,-1069.41748046875
1712486272.738146,171500,-1068.8946533203125
1712486274.6426299,172500,-1068.8946533203125
1712486277.80653,174000,-1062.625244140625
1712486278.7652931,174500,-1062.625244140625
1712486279.762059,175000,-1062.625244140625
1712486280.8446321,175500,-1063.0052490234375
1712486282.782071,176500,-1063.0052490234375
1712486284.73684,177500,-1053.55517578125
1712486286.669693,178500,-1053.55517578125
1712486287.580197,179000,-1053.55517578125
1712486288.6376698,179500,-1052.9642333984375
1712486292.4125261,181500,-1050.2022705078125
1712486294.301953,182500,-1050.2022705078125
1712486296.4156978,183500,-1050.8050537109375
1712486297.508974,184000,-1050.8050537109375
1712486298.4730399,184500,-1050.8050537109375
1712486299.396429,185000,-1050.8050537109375
1712486300.501109,185500,-1048.5472412109375
1712486301.625236,186000,-1048.5472412109375
1712486302.787591,186500,-1048.5472412109375
1712486309.878279,189500,-1050.3065185546875
1712486313.458672,191000,-1052.023681640625
1712486314.3852959,191500,-1052.023681640625
1712486322.630395,195000,-1050.3431396484375
1712486323.614846,195500,-1050.3431396484375
1712486328.134185,197500,-1053.0692138671875
1712486329.406541,198000,-1053.0692138671875
1712486330.736661,198500,-1054.83349609375
1712486331.6984792,199000,-1054.83349609375
1712486332.714732,199500,-1054.83349609375
1712486333.662142,200000,-1054.83349609375
1712486334.76862,200500,-1053.8326416015625
1712486335.781975,201000,-1053.8326416015625
1712486336.778933,201500,-1053.8326416015625
1712486337.7668219,202000,-1053.8326416015625
1712486339.832153,203000,-1059.198974609375
1712486340.7705338,203500,-1059.198974609375
1712486342.870461,204500,-1059.092529296875
1712486346.606442,206500,-1059.092529296875
1712486347.783059,207000,-1060.4735107421875
1712486350.6536589,208500,-1060.4735107421875
1712486351.830317,209000,-1060.9110107421875
1712486352.781805,209500,-1060.9110107421875
1712486353.715193,210000,-1060.9110107421875
1712486356.754111,211500,-1060.5389404296875
1712486360.0234802,213000,-1060.011962890625
1712486360.991797,213500,-1060.011962890625
1712486363.989687,215000,-1053.968505859375
1712486364.86092,215500,-1053.968505859375
1712486368.6038961,217500,-1053.9830322265625
1712486369.6154182,218000,-1053.9830322265625
1712486372.543778,219500,-1052.2440185546875
1712486373.476963,220000,-1052.2440185546875
1712486374.390887,220500,-1052.2440185546875
1712486375.506644,221000,-1052.5045166015625
1712486376.447372,221500,-1052.5045166015625
1712486377.3708212,222000,-1052.5045166015625
1712486378.316036,222500,-1052.5045166015625
1712486379.437883,223000,-1047.8819580078125
1712486381.352339,224000,-1047.8819580078125
1712486382.341464,224500,-1047.8819580078125
1712486383.451105,225000,-1046.3594970703125
1712486384.449044,225500,-1046.3594970703125
1712486388.3986151,227500,-1039.7635498046875
1712486389.385076,228000,-1039.7635498046875
1712486390.376624,228500,-1039.7635498046875
1712486391.486254,229000,-1030.3990478515625
1712486392.458907,229500,-1030.3990478515625
1712486394.333558,230500,-1030.3990478515625
1712486396.438472,231500,-1026.9515380859375
1712486398.311187,232500,-1026.9515380859375
1712486399.485125,233000,-1024.6875
1712486402.341862,234500,-1024.6875
1712486403.457817,235000,-1024.66796875
1712486404.3976629,235500,-1024.66796875
1712486406.313717,236500,-1024.66796875
1712486408.400296,237500,-1017.969970703125
1712486412.4109812,239500,-1018.7534790039062
1712486413.35454,240000,-1018.7534790039062
1712486416.4213371,241500,-1017.969970703125
1712486417.53494,242000,-1017.969970703125
